file_name, red_mean, green_mean, blue_mean, grayscale_mean, variance, std_deviation
pfw_10_64.jpeg, 0.18411458333333305, 0.11615732230392133, 0.1345789292279408, 0.14264610140931291, 0.8585904103122366, 0.9266015380476317
pfw_3_64.jpeg, 0.20528013939950931, 0.1697227328431364, 0.14710956648284257, 0.15949180453431291, 0.8355453735771267, 0.9140817105582666
pfw_4_64.jpeg, 0.2098182827818622, 0.18253293504901938, 0.18446786917892136, 0.18868144914215676, 0.8694903701656356, 0.9324646750229392
pfw_5_64.jpeg, 0.22437576593137437, 0.16016773897059058, 0.16469630821078632, 0.17563955269608048, 0.8465194881370811, 0.9200649369131948
pfw_7_64.jpeg, 0.22670515471813704, 0.17690429687499962, 0.17278167126225377, 0.18325386795343057, 0.8694015021123377, 0.9324170215693929
pfw_11_64.jpeg, 0.13777382046568631, 0.12945293351715687, 0.10570523131127438, 0.1128274356617646, 0.902058096602892, 0.9497673907872874
pfw_6_64.jpeg, 0.13646982230392135, 0.07297602634803976, 0.0823558134191176, 0.0921798406862745, 0.9107499959404659, 0.9543322251398964
pfw_8_64.jpeg, 0.1697342218137245, 0.13843826593137204, 0.14475624234068565, 0.14862802542892076, 0.8771814601047739, 0.9365796603091346
pfw_9_64.jpeg, 0.12680568321078411, 0.08367130055147133, 0.09834750306372546, 0.1021101409313723, 0.9211581487483094, 0.959769841549686
pfw_1_64.jpeg, 0.11911477481617629, 0.0776051240808832, 0.09273035386029432, 0.0961052389705883, 0.9218638775395428, 0.9601374263820481
pfw_2_64.jpeg, 0.14237036611519663, 0.13231081495098052, 0.11518937653186266, 0.12072418811274506, 0.859344258196513, 0.9270082298429249
